node_id,score
S100001,0.1875
S100002,0.17500000000000002
S100003,0.1375
S100004,0.17500000000000002
S100005,0.1875
S100006,0.625
S100007,0.30000000000000004
S100008,0.1375
S100011,0.2
S100012,0.17500000000000002
S100014,0.17500000000000002
S100015,0.1375
S100017,0.17500000000000002
S100018,0.17500000000000002
S100019,0.1375
S100020,0.1375
S100021,0.17500000000000002
S100022,0.30000000000000004
S100024,0.3375
S100025,0.17500000000000002
S100026,0.30000000000000004
S100027,0.1375
S100028,0.17500000000000002
S100029,0.17500000000000002
S100031,0.17500000000000002
S100032,0.17500000000000002
S100033,0.17500000000000002
S100034,0.17500000000000002
S100035,0.1375
S100038,0.17500000000000002
S100039,0.1375
S100040,0.17500000000000002
S100041,0.2
S100042,0.1875
S100043,0.1875
S100046,0.225
S100050,0.2
S100051,0.1875
S100052,0.325
S100054,0.325
S100055,0.325
S100056,0.2
S100058,0.325
S100060,0.1875
S100061,0.375
S100062,0.1875
S100063,0.41250000000000003
S100064,0.2
S100065,0.2
S100067,0.17500000000000002
S100071,0.325
S100074,0.2
S100075,0.17500000000000002
S100077,0.2
S100078,0.45
S100080,0.2
S100083,0.30000000000000004
S100085,0.225
S100087,0.225
S100088,0.3875
S100089,0.225
S100090,0.125
S100092,0.225
S100093,0.30000000000000004
S100096,0.225
S100101,0.125
S100102,0.125
S100105,0.4625
S100106,0.17500000000000002
S100107,0.17500000000000002
S100108,0.225
S100109,0.125
S100110,0.30000000000000004
S100111,0.5
S100112,0.225
S100114,0.125
S100116,0.1875
S100117,0.225
S100118,0.225
S100119,0.225
S100120,0.225
