source,target,weight
S100001,S100005,0.0625
S100001,S100006,0.0625
S100001,S100042,0.0625
S100001,S100043,0.0625
S100001,S100051,0.0625
S100001,S100052,0.0625
S100001,S100054,0.0625
S100001,S100055,0.0625
S100001,S100058,0.0625
S100001,S100060,0.0625
S100001,S100062,0.0625
S100001,S100063,0.0625
S100001,S100071,0.0625
S100001,S100078,0.0625
S100001,S100116,0.0625
S100002,S100004,0.06666666666666667
S100002,S100006,0.06666666666666667
S100002,S100017,0.06666666666666667
S100002,S100018,0.06666666666666667
S100002,S100022,0.06666666666666667
S100002,S100024,0.06666666666666667
S100002,S100028,0.06666666666666667
S100002,S100033,0.06666666666666667
S100002,S100038,0.06666666666666667
S100002,S100040,0.06666666666666667
S100002,S100067,0.06666666666666667
S100002,S100088,0.06666666666666667
S100002,S100105,0.06666666666666667
S100002,S100107,0.06666666666666667
S100003,S100006,0.08333333333333333
S100003,S100007,0.08333333333333333
S100003,S100008,0.08333333333333333
S100003,S100015,0.08333333333333333
S100003,S100019,0.08333333333333333
S100003,S100020,0.08333333333333333
S100003,S100022,0.08333333333333333
S100003,S100027,0.08333333333333333
S100003,S100035,0.08333333333333333
S100003,S100039,0.08333333333333333
S100003,S100078,0.08333333333333333
S100004,S100006,0.06666666666666667
S100004,S100017,0.06666666666666667
S100004,S100018,0.06666666666666667
S100004,S100022,0.06666666666666667
S100004,S100024,0.06666666666666667
S100004,S100028,0.06666666666666667
S100004,S100033,0.06666666666666667
S100004,S100038,0.06666666666666667
S100004,S100040,0.06666666666666667
S100004,S100067,0.06666666666666667
S100004,S100088,0.06666666666666667
S100004,S100105,0.06666666666666667
S100004,S100107,0.06666666666666667
S100005,S100006,0.0625
S100005,S100042,0.0625
S100005,S100043,0.0625
S100005,S100051,0.0625
S100005,S100052,0.0625
S100005,S100054,0.0625
S100005,S100055,0.0625
S100005,S100058,0.0625
S100005,S100060,0.0625
S100005,S100062,0.0625
S100005,S100063,0.0625
S100005,S100071,0.0625
S100005,S100078,0.0625
S100005,S100116,0.0625
S100006,S100007,0.15
S100006,S100008,0.08333333333333333
S100006,S100012,0.06666666666666667
S100006,S100014,0.06666666666666667
S100006,S100015,0.08333333333333333
S100006,S100017,0.06666666666666667
S100006,S100018,0.06666666666666667
S100006,S100019,0.08333333333333333
S100006,S100020,0.08333333333333333
S100006,S100021,0.06666666666666667
S100006,S100022,0.15
S100006,S100024,0.13333333333333333
S100006,S100025,0.06666666666666667
S100006,S100026,0.06666666666666667
S100006,S100027,0.08333333333333333
S100006,S100028,0.06666666666666667
S100006,S100029,0.06666666666666667
S100006,S100031,0.06666666666666667
S100006,S100032,0.06666666666666667
S100006,S100033,0.06666666666666667
S100006,S100034,0.06666666666666667
S100006,S100035,0.08333333333333333
S100006,S100038,0.06666666666666667
S100006,S100039,0.08333333333333333
S100006,S100040,0.06666666666666667
S100006,S100042,0.0625
S100006,S100043,0.0625
S100006,S100051,0.0625
S100006,S100052,0.0625
S100006,S100054,0.0625
S100006,S100055,0.0625
S100006,S100058,0.0625
S100006,S100060,0.0625
S100006,S100061,0.06666666666666667
S100006,S100062,0.0625
S100006,S100063,0.0625
S100006,S100067,0.06666666666666667
S100006,S100071,0.0625
S100006,S100075,0.06666666666666667
S100006,S100078,0.14583333333333331
S100006,S100088,0.06666666666666667
S100006,S100105,0.06666666666666667
S100006,S100106,0.06666666666666667
S100006,S100107,0.06666666666666667
S100006,S100116,0.0625
S100007,S100008,0.08333333333333333
S100007,S100012,0.06666666666666667
S100007,S100014,0.06666666666666667
S100007,S100015,0.08333333333333333
S100007,S100019,0.08333333333333333
S100007,S100020,0.08333333333333333
S100007,S100021,0.06666666666666667
S100007,S100022,0.08333333333333333
S100007,S100024,0.06666666666666667
S100007,S100025,0.06666666666666667
S100007,S100026,0.06666666666666667
S100007,S100027,0.08333333333333333
S100007,S100029,0.06666666666666667
S100007,S100031,0.06666666666666667
S100007,S100032,0.06666666666666667
S100007,S100034,0.06666666666666667
S100007,S100035,0.08333333333333333
S100007,S100039,0.08333333333333333
S100007,S100061,0.06666666666666667
S100007,S100075,0.06666666666666667
S100007,S100078,0.08333333333333333
S100007,S100106,0.06666666666666667
S100008,S100015,0.08333333333333333
S100008,S100019,0.08333333333333333
S100008,S100020,0.08333333333333333
S100008,S100022,0.08333333333333333
S100008,S100027,0.08333333333333333
S100008,S100035,0.08333333333333333
S100008,S100039,0.08333333333333333
S100008,S100078,0.08333333333333333
S100011,S100041,0.058823529411764705
S100011,S100050,0.058823529411764705
S100011,S100052,0.058823529411764705
S100011,S100054,0.058823529411764705
S100011,S100055,0.058823529411764705
S100011,S100056,0.058823529411764705
S100011,S100058,0.058823529411764705
S100011,S100061,0.058823529411764705
S100011,S100064,0.058823529411764705
S100011,S100065,0.058823529411764705
S100011,S100071,0.058823529411764705
S100011,S100074,0.058823529411764705
S100011,S100077,0.058823529411764705
S100011,S100078,0.058823529411764705
S100011,S100080,0.058823529411764705
S100011,S100111,0.058823529411764705
S100012,S100014,0.06666666666666667
S100012,S100021,0.06666666666666667
