source,target,weight
DAAA,S100003,80.8
DAAA,S100006,62.3
DAAA,S100007,61.1
DAAA,S100008,60.0
DAAA,S100015,79.4
DAAA,S100019,78.6
DAAA,S100020,69.8
DAAA,S100022,75.8
DAAA,S100027,69.7
DAAA,S100035,81.6
DAAA,S100039,66.8
DAAA,S100078,82.7
DBBB,S100002,68.5
DBBB,S100004,74.5
DBBB,S100006,74.0
DBBB,S100017,69.7
DBBB,S100018,82.4
DBBB,S100022,87.7
DBBB,S100024,88.5
DBBB,S100028,79.3
DBBB,S100033,82.1
DBBB,S100038,66.5
DBBB,S100040,85.4
DBBB,S100067,78.2
DBBB,S100088,71.3
DBBB,S100105,68.1
DBBB,S100107,81.9
DCCC,S100006,75.1
DCCC,S100007,73.3
DCCC,S100012,73.8
DCCC,S100014,63.2
DCCC,S100021,93.1
DCCC,S100024,63.5
DCCC,S100025,69.3
DCCC,S100026,80.3
DCCC,S100029,82.8
DCCC,S100031,67.4
DCCC,S100032,65.2
DCCC,S100034,73.2
DCCC,S100061,83.0
DCCC,S100075,89.9
DCCC,S100106,88.3
DDDD,S100011,72.6
DDDD,S100041,62.8
DDDD,S100050,67.2
DDDD,S100052,95.0
DDDD,S100054,90.7
DDDD,S100055,66.1
DDDD,S100056,92.5
DDDD,S100058,76.5
DDDD,S100061,66.2
DDDD,S100064,77.5
DDDD,S100065,63.4
DDDD,S100071,60.7
DDDD,S100074,83.4
DDDD,S100077,76.8
DDDD,S100078,82.2
DDDD,S100080,66.6
DDDD,S100111,75.0
DEEE,S100001,74.8
DEEE,S100005,66.9
DEEE,S100006,65.3
DEEE,S100042,95.3
DEEE,S100043,87.2
DEEE,S100051,76.2
DEEE,S100052,63.2
DEEE,S100054,81.5
DEEE,S100055,65.5
DEEE,S100058,67.1
DEEE,S100060,75.1
DEEE,S100062,76.5
DEEE,S100063,77.0
DEEE,S100071,65.7
DEEE,S100078,75.4
DEEE,S100116,84.5
DFFF,S100026,80.9
DFFF,S100083,75.8
DFFF,S100090,93.6
DFFF,S100093,74.0
DFFF,S100101,86.7
DFFF,S100102,67.0
DFFF,S100105,86.0
DFFF,S100109,69.4
DFFF,S100110,64.7
DFFF,S100111,74.4
DFFF,S100114,82.4
DGGG,S100046,62.6
DGGG,S100063,78.8
DGGG,S100083,69.2
DGGG,S100085,69.5
DGGG,S100087,66.8
DGGG,S100088,62.0
DGGG,S100089,68.5
DGGG,S100092,70.0
DGGG,S100093,70.7
DGGG,S100096,74.6
DGGG,S100105,73.2
DGGG,S100108,73.3
DGGG,S100110,74.3
DGGG,S100111,89.6
DGGG,S100112,63.7
DGGG,S100117,87.8
DGGG,S100118,63.8
DGGG,S100119,84.8
DGGG,S100120,74.5
