id,kind,label
DAAA,discipline,AAA
DBBB,discipline,BBB
DCCC,discipline,CCC
DDDD,discipline,DDD
DEEE,discipline,EEE
DFFF,discipline,FFF
DGGG,discipline,GGG
S100001,student,100001
S100002,student,100002
S100003,student,100003
S100004,student,100004
S100005,student,100005
S100006,student,100006
S100007,student,100007
S100008,student,100008
S100011,student,100011
S100012,student,100012
S100014,student,100014
S100015,student,100015
S100017,student,100017
S100018,student,100018
S100019,student,100019
S100020,student,100020
S100021,student,100021
S100022,student,100022
S100024,student,100024
S100025,student,100025
S100026,student,100026
S100027,student,100027
S100028,student,100028
S100029,student,100029
S100031,student,100031
S100032,student,100032
S100033,student,100033
S100034,student,100034
S100035,student,100035
S100038,student,100038
S100039,student,100039
S100040,student,100040
S100041,student,100041
S100042,student,100042
S100043,student,100043
S100046,student,100046
S100050,student,100050
S100051,student,100051
S100052,student,100052
S100054,student,100054
S100055,student,100055
S100056,student,100056
S100058,student,100058
S100060,student,100060
S100061,student,100061
S100062,student,100062
S100063,student,100063
S100064,student,100064
S100065,student,100065
S100067,student,100067
S100071,student,100071
S100074,student,100074
S100075,student,100075
S100077,student,100077
S100078,student,100078
S100080,student,100080
S100083,student,100083
S100085,student,100085
S100087,student,100087
S100088,student,100088
S100089,student,100089
S100090,student,100090
S100092,student,100092
S100093,student,100093
S100096,student,100096
S100101,student,100101
S100102,student,100102
S100105,student,100105
S100106,student,100106
S100107,student,100107
S100108,student,100108
S100109,student,100109
S100110,student,100110
S100111,student,100111
S100112,student,100112
S100114,student,100114
S100116,student,100116
S100117,student,100117
S100118,student,100118
S100119,student,100119
S100120,student,100120
