student_id,final_result,planted_group
S100001,Pass,0
S100002,Pass,0
S100003,Distinction,0
S100004,Distinction,0
S100005,Pass,0
S100006,Pass,0
S100007,Pass,0
S100008,Fail,0
S100011,Pass,0
S100012,Pass,0
S100014,Withdrawn,0
S100015,Distinction,0
S100017,Distinction,0
S100018,Pass,0
S100019,Pass,0
S100020,Pass,0
S100021,Pass,0
S100022,Pass,0
S100024,Distinction,0
S100025,Fail,0
S100026,Distinction,0
S100027,Pass,0
S100028,Distinction,0
S100029,Pass,0
S100031,Pass,0
S100032,Withdrawn,0
S100033,Pass,0
S100034,Pass,0
S100035,Pass,0
S100038,Pass,0
S100039,Pass,0
S100040,Fail,0
S100041,Withdrawn,1
S100042,Pass,1
S100043,Pass,1
S100046,Withdrawn,1
S100050,Pass,1
S100051,Pass,1
S100052,Pass,1
S100054,Pass,1
S100055,Distinction,1
S100056,Pass,1
S100058,Distinction,1
S100060,Pass,1
S100061,Pass,1
S100062,Pass,1
S100063,Distinction,1
S100064,Distinction,1
S100065,Withdrawn,1
S100067,Fail,1
S100071,Withdrawn,1
S100074,Fail,1
S100075,Withdrawn,1
S100077,Pass,1
S100078,Distinction,1
S100080,Fail,1
S100083,Pass,2
S100085,Pass,2
S100087,Fail,2
S100088,Pass,2
S100089,Withdrawn,2
S100090,Fail,2
S100092,Withdrawn,2
S100093,Pass,2
S100096,Distinction,2
S100101,Withdrawn,2
S100102,Fail,2
S100105,Pass,2
S100106,Fail,2
S100107,Pass,2
S100108,Pass,2
S100109,Distinction,2
S100110,Pass,2
S100111,Pass,2
S100112,Withdrawn,2
S100114,Pass,2
S100116,Fail,2
S100117,Fail,2
S100118,Pass,2
S100119,Pass,2
S100120,Distinction,2
