node_id,score
S100001,0.09919508530654017
S100002,0.045933177595622
S100003,0.14199126174080548
S100006,0.14199126174080548
S100007,0.14199126174080548
S100008,0.09610468329400208
S100009,0.09610468329400208
S100010,0.09899598474709966
S100011,0.05169781138977499
S100012,0.1848128111998827
S100014,0.14119435064454616
S100015,0.09332147186090065
S100016,0.18418175170793466
S100017,0.14199126174080548
S100019,0.09899598474709966
S100020,0.09332147186090065
S100021,0.09899598474709966
S100023,0.09448663836963303
S100024,0.14199126174080548
S100025,0.1384539805522741
S100026,0.09899598474709966
S100027,0.09899598474709966
S100028,0.09899598474709966
S100029,0.1450340938962125
S100031,0.09332147186090065
S100032,0.05169781138977499
S100033,0.048870397829247514
S100034,0.09251210232321609
S100035,0.14199126174080548
S100038,0.09332147186090065
S100039,0.1841817517079346
S100040,0.04804817412768802
S100041,0.09468573892907359
S100042,0.09468573892907359
S100043,0.09468573892907359
S100044,0.04711684893021903
S100045,0.09468573892907359
S100046,0.09468573892907359
S100047,0.049072660445699606
S100048,0.09468573892907359
S100049,0.09468573892907359
S100050,0.04711684893021903
S100051,0.04711684893021903
S100053,0.09468573892907359
S100054,0.09468573892907359
S100055,0.13979724776449745
S100056,0.09468573892907359
S100057,0.09468573892907359
S100058,0.04907266044569961
S100059,0.09468573892907359
S100060,0.09468573892907359
S100061,0.04907266044569961
S100062,0.04907266044569961
S100063,0.04907266044569961
S100064,0.09352057242034119
S100065,0.1433345289530288
S100066,0.09468573892907359
S100067,0.049072660445699606
S100068,0.049072660445699606
S100069,0.09468573892907359
S100070,0.09468573892907359
S100071,0.09468573892907359
S100072,0.13774736255349257
S100073,0.04711684893021902
S100074,0.09468573892907359
S100075,0.09468573892907359
S100076,0.04711684893021902
S100078,0.09468573892907359
S100079,0.09403494820483524
S100081,0.09302647810771018
S100082,0.09302647810771018
S100083,0.09302647810771018
S100084,0.1372608737242954
S100085,0.09661905907849612
S100086,0.09302647810771018
S100090,0.09302647810771018
S100091,0.138960438667479
S100092,0.09302647810771018
S100095,0.09302647810771018
S100096,0.09302647810771018
S100097,0.046455722541484
S100098,0.09302647810771018
S100099,0.09302647810771018
S100100,0.09302647810771018
S100101,0.138960438667479
S100105,0.1417008087597511
S100106,0.1361136423602148
S100107,0.1417008087597511
S100108,0.0930264781077102
S100109,0.04804817412768802
S100110,0.05169781138977499
S100111,0.04804817412768802
S100112,0.04804817412768802
S100113,0.046455722541484
S100114,0.0930264781077102
S100117,0.13611364236021484
S100118,0.04804817412768802
S100120,0.0930264781077102
