node_id,community
S100001,0
S100002,1
S100003,2
S100004,1
S100005,0
S100006,2
S100007,2
S100008,2
S100011,0
S100012,3
S100014,3
S100015,2
S100017,1
S100018,1
S100019,2
S100020,2
S100021,3
S100022,2
S100024,3
S100025,3
S100026,4
S100027,2
S100028,1
S100029,3
S100031,3
S100032,3
S100033,1
S100034,3
S100035,2
S100038,1
S100039,2
S100040,1
S100041,0
S100042,0
S100043,0
S100046,4
S100050,0
S100051,0
S100052,0
S100054,0
S100055,0
S100056,0
S100058,0
S100060,0
S100061,3
S100062,0
S100063,4
S100064,0
S100065,0
S100067,1
S100071,0
S100074,0
S100075,3
S100077,0
S100078,0
S100080,0
S100083,4
S100085,4
S100087,4
S100088,1
S100089,4
S100090,4
S100092,4
S100093,4
S100096,4
S100101,4
S100102,4
S100105,4
S100106,3
S100107,1
S100108,4
S100109,4
S100110,4
S100111,4
S100112,4
S100114,4
S100116,0
S100117,4
S100118,4
S100119,4
S100120,4
