source,target,weight
S100001,S100003,1.0
S100001,S100006,1.0
S100001,S100007,1.0
S100001,S100008,1.0
S100001,S100009,1.0
S100001,S100010,1.0
S100001,S100011,1.0
S100001,S100012,1.0
S100001,S100014,1.0
S100001,S100016,1.0
S100001,S100017,1.0
S100001,S100019,1.0
S100001,S100021,1.0
S100001,S100024,1.0
S100001,S100026,1.0
S100001,S100027,1.0
S100001,S100028,1.0
S100001,S100029,2.0
S100001,S100032,1.0
S100001,S100035,1.0
S100001,S100039,1.0
S100001,S100041,1.0
S100001,S100042,1.0
S100001,S100043,1.0
S100001,S100045,1.0
S100001,S100046,1.0
S100001,S100047,1.0
S100001,S100048,1.0
S100001,S100049,1.0
S100001,S100053,1.0
S100001,S100054,1.0
S100001,S100055,1.0
S100001,S100056,1.0
S100001,S100057,1.0
S100001,S100058,1.0
S100001,S100059,1.0
S100001,S100060,1.0
S100001,S100061,1.0
S100001,S100062,1.0
S100001,S100063,1.0
S100001,S100064,1.0
S100001,S100065,2.0
S100001,S100066,1.0
S100001,S100067,1.0
S100001,S100068,1.0
S100001,S100069,1.0
S100001,S100070,1.0
S100001,S100071,1.0
S100001,S100072,1.0
S100001,S100074,1.0
S100001,S100075,1.0
S100001,S100078,1.0
S100001,S100079,1.0
S100001,S100085,1.0
S100001,S100105,1.0
S100001,S100107,1.0
S100001,S100110,1.0
S100002,S100003,1.0
S100002,S100006,1.0
S100002,S100007,1.0
S100002,S100008,1.0
S100002,S100009,1.0
S100002,S100012,1.0
S100002,S100014,1.0
S100002,S100015,1.0
S100002,S100016,1.0
S100002,S100017,1.0
S100002,S100020,1.0
S100002,S100024,1.0
S100002,S100025,1.0
S100002,S100031,1.0
S100002,S100034,1.0
S100002,S100035,1.0
S100002,S100038,1.0
S100002,S100039,1.0
S100002,S100064,1.0
S100002,S100072,1.0
S100002,S100106,1.0
S100002,S100117,1.0
S100003,S100006,3.0
S100003,S100007,3.0
S100003,S100008,2.0
S100003,S100009,2.0
S100003,S100010,2.0
S100003,S100011,1.0
S100003,S100012,3.0
S100003,S100014,2.0
S100003,S100015,2.0
S100003,S100016,3.0
S100003,S100017,3.0
S100003,S100019,2.0
S100003,S100020,2.0
S100003,S100021,2.0
S100003,S100023,1.0
S100003,S100024,3.0
S100003,S100025,2.0
S100003,S100026,2.0
S100003,S100027,2.0
S100003,S100028,2.0
S100003,S100029,2.0
S100003,S100031,2.0
S100003,S100032,1.0
S100003,S100033,1.0
S100003,S100034,1.0
S100003,S100035,3.0
S100003,S100038,2.0
S100003,S100039,3.0
S100003,S100064,1.0
S100003,S100065,1.0
S100003,S100072,1.0
S100003,S100085,1.0
S100003,S100091,1.0
S100003,S100101,1.0
S100003,S100105,1.0
S100003,S100106,1.0
S100003,S100107,1.0
S100003,S100110,1.0
S100003,S100117,1.0
S100006,S100007,3.0
S100006,S100008,2.0
S100006,S100009,2.0
S100006,S100010,2.0
S100006,S100011,1.0
S100006,S100012,3.0
S100006,S100014,2.0
S100006,S100015,2.0
S100006,S100016,3.0
S100006,S100017,3.0
S100006,S100019,2.0
S100006,S100020,2.0
S100006,S100021,2.0
S100006,S100023,1.0
S100006,S100024,3.0
S100006,S100025,2.0
S100006,S100026,2.0
S100006,S100027,2.0
S100006,S100028,2.0
S100006,S100029,2.0
S100006,S100031,2.0
S100006,S100032,1.0
S100006,S100033,1.0
S100006,S100034,1.0
S100006,S100035,3.0
S100006,S100038,2.0
S100006,S100039,3.0
S100006,S100064,1.0
S100006,S100065,1.0
S100006,S100072,1.0
S100006,S100085,1.0
S100006,S100091,1.0
S100006,S100101,1.0
S100006,S100105,1.0
